tota_name	docid	year	decade	new_name3_matt	doc_chapter_id
Turkey - Israel	pta_99	1996	199	Preamble	pta_99_1143
Turkey - Israel	pta_99	1996	199	Industry	pta_99_1144
Turkey - Israel	pta_99	1996	199	Agriculture	pta_99_1145
Turkey - Israel	pta_99	1996	199	General Provisions	pta_99_1146
Turkey - Israel	pta_99	1996	199	Trade In Services	pta_99_1147
Turkey - Israel	pta_99	1996	199	General Provisions	pta_99_1148
Turkey - Israel	pta_99	1996	199	Conclusions	pta_99_1149
EU - Tunisia	pta_98	1995	199	Preamble	pta_98_1127
EU - Tunisia	pta_98	1995	199	Social Matters	pta_98_1128
EU - Tunisia	pta_98	1995	199	Industry	pta_98_1129
EU - Tunisia	pta_98	1995	199	Agriculture	pta_98_1130
EU - Tunisia	pta_98	1995	199	General Provisions	pta_98_1131
EU - Tunisia	pta_98	1995	199	Trade In Services	pta_98_1132
EU - Tunisia	pta_98	1995	199	Payments And Movement Of Capital	pta_98_1133
EU - Tunisia	pta_98	1995	199	Competition-Related Matters	pta_98_1134
EU - Tunisia	pta_98	1995	199	Economic Co-operation	pta_98_1135
EU - Tunisia	pta_98	1995	199	Labour	pta_98_1136
EU - Tunisia	pta_98	1995	199	Social Matters	pta_98_1137
EU - Tunisia	pta_98	1995	199	Social Matters	pta_98_1138
EU - Tunisia	pta_98	1995	199	Cultural Matters	pta_98_1139
EU - Tunisia	pta_98	1995	199	Financial Co-operation	pta_98_1140
EU - Tunisia	pta_98	1995	199	Institutions	pta_98_1141
EU - Tunisia	pta_98	1995	199	Conclusions	pta_98_1142
Eurasian Economic Community (EAEC)	pta_97	1996	199	Preamble	pta_97_1119
Eurasian Economic Community (EAEC)	pta_97	1996	199	Objectives, Definitions and Scope	pta_97_1120
Eurasian Economic Community (EAEC)	pta_97	1996	199	General Provisions	pta_97_1121
Eurasian Economic Community (EAEC)	pta_97	1996	199	Border Measures	pta_97_1122
Eurasian Economic Community (EAEC)	pta_97	1996	199	Economic Co-operation	pta_97_1123
Eurasian Economic Community (EAEC)	pta_97	1996	199	Legal And Judicial Affairs	pta_97_1124
Eurasian Economic Community (EAEC)	pta_97	1996	199	General Provisions	pta_97_1125
Eurasian Economic Community (EAEC)	pta_97	1996	199	Conclusions	pta_97_1126
India - Singapore	pta_9	2005	200	Preamble	pta_9_110
India - Singapore	pta_9	2005	200	Objectives, Definitions and Scope	pta_9_111
India - Singapore	pta_9	2005	200	Trade in Goods	pta_9_112
India - Singapore	pta_9	2005	200	Rules of origin	pta_9_113
India - Singapore	pta_9	2005	200	Border Measures	pta_9_114
India - Singapore	pta_9	2005	200	Technical Regulations And Barriers To Trade	pta_9_115
India - Singapore	pta_9	2005	200	Investment	pta_9_116
India - Singapore	pta_9	2005	200	Trade In Services	pta_9_117
India - Singapore	pta_9	2005	200	Transport And Communications	pta_9_118
India - Singapore	pta_9	2005	200	Movement Of Persons	pta_9_119
India - Singapore	pta_9	2005	200	Trade Facilitation	pta_9_120
India - Singapore	pta_9	2005	200	Intellectual Property	pta_9_121
India - Singapore	pta_9	2005	200	Science, Technology And Information	pta_9_122
India - Singapore	pta_9	2005	200	Social Matters	pta_9_123
India - Singapore	pta_9	2005	200	Cultural Matters	pta_9_124
India - Singapore	pta_9	2005	200	Dispute Settlement	pta_9_125
India - Singapore	pta_9	2005	200	General Provisions	pta_9_126
India - Singapore	pta_9	2005	200	Conclusions	pta_9_127
East African Community (EAC)	pta_85	1999	199	Preamble	pta_85_1044
East African Community (EAC)	pta_85	1999	199	Accession, Withdrawal And Entry Into Force	pta_85_1046
East African Community (EAC)	pta_85	1999	199	Institutions	pta_85_1047
East African Community (EAC)	pta_85	1999	199	Administration	pta_85_1049
East African Community (EAC)	pta_85	1999	199	Administration	pta_85_1050
East African Community (EAC)	pta_85	1999	199	Administration	pta_85_1051
East African Community (EAC)	pta_85	1999	199	Legal And Judicial Affairs	pta_85_1052
East African Community (EAC)	pta_85	1999	199	Legal And Judicial Affairs	pta_85_1053
East African Community (EAC)	pta_85	1999	199	Administration	pta_85_1054
East African Community (EAC)	pta_85	1999	199	Trade Facilitation	pta_85_1055
East African Community (EAC)	pta_85	1999	199	Industry	pta_85_1056
East African Community (EAC)	pta_85	1999	199	Technical Regulations And Barriers To Trade	pta_85_1057
East African Community (EAC)	pta_85	1999	199	Financial Co-operation	pta_85_1058
East African Community (EAC)	pta_85	1999	199	Social Matters	pta_85_1060
East African Community (EAC)	pta_85	1999	199	Movement Of Persons	pta_85_1061
East African Community (EAC)	pta_85	1999	199	Agriculture	pta_85_1062
East African Community (EAC)	pta_85	1999	199	Environment And Natural Resources	pta_85_1063
East African Community (EAC)	pta_85	1999	199	Movement Of Persons	pta_85_1064
East African Community (EAC)	pta_85	1999	199	Social Matters	pta_85_1065
East African Community (EAC)	pta_85	1999	199	Economic Development	pta_85_1066
East African Community (EAC)	pta_85	1999	199	Social Matters	pta_85_1067
East African Community (EAC)	pta_85	1999	199	Legal And Judicial Affairs	pta_85_1068
East African Community (EAC)	pta_85	1999	199	Private Sector And Business	pta_85_1069
East African Community (EAC)	pta_85	1999	199	Instituitons	pta_85_1070
East African Community (EAC)	pta_85	1999	199	General Provisions	pta_85_1071
East African Community (EAC)	pta_85	1999	199	Financial Co-operation	pta_85_1072
East African Community (EAC)	pta_85	1999	199	General Provisions	pta_85_1073
East African Community (EAC)	pta_85	1999	199	Conclusions	pta_85_1074
EU - Israel	pta_84	1995	199	Preamble	pta_84_1027
EU - Israel	pta_84	1995	199	Social Matters	pta_84_1028
EU - Israel	pta_84	1995	199	Objectives, Definitions and Scope	pta_84_1029
EU - Israel	pta_84	1995	199	Industry	pta_84_1030
EU - Israel	pta_84	1995	199	Agriculture	pta_84_1031
EU - Israel	pta_84	1995	199	General Provisions	pta_84_1032
EU - Israel	pta_84	1995	199	Trade In Services	pta_84_1033
EU - Israel	pta_84	1995	199	Payments And Movement Of Capital	pta_84_1034
EU - Israel	pta_84	1995	199	Government Procurement	pta_84_1035
EU - Israel	pta_84	1995	199	Competition-Related Matters	pta_84_1036
EU - Israel	pta_84	1995	199	Intellectual Property	pta_84_1037
EU - Israel	pta_84	1995	199	Science, Technology And Information	pta_84_1038
EU - Israel	pta_84	1995	199	Economic Co-operation	pta_84_1039
EU - Israel	pta_84	1995	199	Cultural Matters	pta_84_1040
EU - Israel	pta_84	1995	199	Social Matters	pta_84_1041
EU - Israel	pta_84	1995	199	Institutions	pta_84_1042
EU - Israel	pta_84	1995	199	Conclusions	pta_84_1043
EU - Morocco	pta_83	1996	199	Preamble	pta_83_1011
EU - Morocco	pta_83	1996	199	Social Matters	pta_83_1012
EU - Morocco	pta_83	1996	199	Industry	pta_83_1013
EU - Morocco	pta_83	1996	199	Agriculture	pta_83_1014
EU - Morocco	pta_83	1996	199	General Provisions	pta_83_1015
EU - Morocco	pta_83	1996	199	Trade In Services	pta_83_1016
EU - Morocco	pta_83	1996	199	Payments And Movement Of Capital	pta_83_1017
EU - Morocco	pta_83	1996	199	Competition-Related Matters	pta_83_1018
EU - Morocco	pta_83	1996	199	Economic Co-operation	pta_83_1019
EU - Morocco	pta_83	1996	199	Labour	pta_83_1020
EU - Morocco	pta_83	1996	199	Social Matters	pta_83_1021
EU - Morocco	pta_83	1996	199	Social Matters	pta_83_1022
EU - Morocco	pta_83	1996	199	Cultural Matters	pta_83_1023
EU - Morocco	pta_83	1996	199	Financial Co-operation	pta_83_1024
EU - Morocco	pta_83	1996	199	Institutions	pta_83_1025
EU - Morocco	pta_83	1996	199	Conclusions	pta_83_1026
EU - South Africa	pta_82	1999	199	Preamble	pta_82_108
EU - South Africa	pta_82	1999	199	Objectives, Definitions and Scope	pta_82_109
EU - South Africa	pta_82	1999	199	General Provisions	pta_82_995
EU - South Africa	pta_82	1999	199	Industry	pta_82_996
EU - South Africa	pta_82	1999	199	Agriculture	pta_82_997
EU - South Africa	pta_82	1999	199	General Provisions	pta_82_998
EU - South Africa	pta_82	1999	199	Trade In Services	pta_82_999
EU - South Africa	pta_82	1999	199	Payments And Movement Of Capital	pta_82_1000
EU - South Africa	pta_82	1999	199	Competition-Related Matters	pta_82_1001
EU - South Africa	pta_82	1999	199	Economic Development	pta_82_1002
EU - South Africa	pta_82	1999	199	General Provisions	pta_82_1003
EU - South Africa	pta_82	1999	199	Economic Co-operation	pta_82_1004
EU - South Africa	pta_82	1999	199	General Provisions	pta_82_1005
EU - South Africa	pta_82	1999	199	Administration	pta_82_1006
EU - South Africa	pta_82	1999	199	General Provisions	pta_82_1007
EU - South Africa	pta_82	1999	199	Financial Co-operation	pta_82_1008
EU - South Africa	pta_82	1999	199	General Provisions	pta_82_1009
EU - South Africa	pta_82	1999	199	Conclusions	pta_82_1010
Turkey - Former Yugoslav Republic of Macedonia	pta_80	1999	199	Preamble	pta_80_989
Turkey - Former Yugoslav Republic of Macedonia	pta_80	1999	199	Industry	pta_80_990
Turkey - Former Yugoslav Republic of Macedonia	pta_80	1999	199	Agriculture	pta_80_991
Turkey - Former Yugoslav Republic of Macedonia	pta_80	1999	199	Trade In Services	pta_80_992
Turkey - Former Yugoslav Republic of Macedonia	pta_80	1999	199	General Provisions	pta_80_993
Turkey - Former Yugoslav Republic of Macedonia	pta_80	1999	199	Conclusions	pta_80_994
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	Preamble	pta_8_88
Trans-Pacific Strategic Economic Partnership	pta_8	2005	200	General Provisions	pta_8_89
