file,tota_name,tota_number,date_signed,chapter_id,chapter_name,region,composition,crossregional,wto,language,p1,p2,docid,year,decade,new_name3_matt,AE_loose,AE_strict,new_issue,doc_chapter_id
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,110,Preamble,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Preamble,,,0.0,pta_9_110
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,111,Objectives And General Definitions,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,"Objectives, Definitions and Scope",,,0.0,pta_9_111
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,112,Trade In Goods,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Trade in Goods,,,0.0,pta_9_112
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,113,Rules Of Origin,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Rules of origin,,,0.0,pta_9_113
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,114,Customs,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Border Measures,,,0.0,pta_9_114
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,115,"Standards And Technical Regulations, Sanitary And Phytosanitary Measures",West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Sanitary and phyto-sanitary,Sanitary and phyto-sanitary,Sanitary and phyto-sanitary,1.0,pta_9_115
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,116,Investment,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Investment,Investment,Investment,1.0,pta_9_116
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,117,Trade In Services,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Trade In Services,Services,Services,1.0,pta_9_117
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,118,Air Services,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Transport And Communications,Services,,1.0,pta_9_118
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,119,Movement Of Natural Persons,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Movement Of Persons,Movement,Movement,1.0,pta_9_119
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,120,E-Commerce,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,E-commerce,E-commerce,E-commerce,1.0,pta_9_120
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,121,Intellectual Property Co-Operation,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Intellectual Property,Intellectual property,Intellectual property,1.0,pta_9_121
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,122,Science And Technology,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,"Science, Technology And Information",,,1.0,pta_9_122
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,123,Education,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Social Matters,,,1.0,pta_9_123
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,124,Media,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Cultural Matters,,,1.0,pta_9_124
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,125,Dispute Settlement,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Dispute Settlement,Dispute settlement,Dispute settlement,0.0,pta_9_125
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,126,General And Final Provisions,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,General Provisions,,,0.0,pta_9_126
xml_files/pta_9.xml,India - Singapore,9,2005-06-29,127,Conclusion,West Asia; East Asia,Bilateral,Yes,Yes,en,IND,SGP,pta_9,2005,200,Conclusions,,,0.0,pta_9_127
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,88,Preamble,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Preamble,,,0.0,pta_8_88
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,89,Initial Provisions,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,General Provisions,,,0.0,pta_8_89
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,90,General Definitions,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,"Objectives, Definitions and Scope",,,0.0,pta_8_90
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,91,Trade In Goods,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Trade in Goods,,,0.0,pta_8_91
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,92,Rules Of Origin,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Rules of origin,,,0.0,pta_8_92
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,93,Customs Procedures,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Border Measures,,,0.0,pta_8_93
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,94,Trade Remedies,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Trade Remedies,Safeguards,,1.0,pta_8_94
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,95,Sanitary And Phytosanitary Measures,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Sanitary and phyto-sanitary,Sanitary and phyto-sanitary,Sanitary and phyto-sanitary,1.0,pta_8_95
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,96,Technical Barriers To Trade,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Technical Regulations And Barriers To Trade,Technical barriers,Technical barriers,0.0,pta_8_96
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,97,Competition Policy,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Competition-Related Matters,,,1.0,pta_8_97
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,98,Intellectual Property,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Intellectual Property,Intellectual property,Intellectual property,1.0,pta_8_98
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,99,Government Procurement,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Government Procurement,Procurement,Procurement,0.0,pta_8_99
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,100,Trade In Services,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Trade In Services,Services,Services,1.0,pta_8_100
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,101,Temporary Entry,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Movement Of Persons,Movement,Movement,1.0,pta_8_101
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,102,Transparency,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Transparency,,,0.0,pta_8_102
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,103,Dispute Settlement,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Dispute Settlement,Dispute settlement,Dispute settlement,0.0,pta_8_103
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,104,Strategic Partnership,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,General Provisions,,,0.0,pta_8_104
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,105,Administrative And Institutional Provisions,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Administration,,,0.0,pta_8_105
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,106,General Provisions,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,General Provisions,,,0.0,pta_8_106
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,107,General Exceptions,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Exceptions,,,0.0,pta_8_107
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,108,Final Provisions,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,General Provisions,,,0.0,pta_8_108
xml_files/pta_8.xml,Trans-Pacific Strategic Economic Partnership,8,2005-07-18,109,Conclusion,East Asia; South America; Oceania,Plurilateral,Yes,Yes,en,BRN CHL NZL SGP,,pta_8,2005,200,Conclusions,,,0.0,pta_8_109
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,954,Preamble,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Preamble,,,0.0,pta_72_954
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,955,Initial Provisions,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,General Provisions,,,0.0,pta_72_955
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,956,Trade In Goods,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Trade in Goods,,,0.0,pta_72_956
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,957,Rules Of Origin,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Rules of origin,,,0.0,pta_72_957
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,958,Customs Procedures,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Border Measures,,,0.0,pta_72_958
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,959,Emergency Actions,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Trade Remedies,Safeguards,,1.0,pta_72_959
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,960,Government Procurement,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Government Procurement,Procurement,Procurement,0.0,pta_72_960
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,961,Wto Rights And Obligations,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Institutions,,,0.0,pta_72_961
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,962,"Competition Policy, Monopolies And State Enterprises",Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Competition-Related Matters,,,1.0,pta_72_962
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,963,"Publication, Notification And Administration Of Laws",Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Legal And Judicial Affairs,,,1.0,pta_72_963
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,964,Institutional Provisions And Dispute Settlement Procedures,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Institutions,Dispute settlement,Dispute settlement,0.0,pta_72_964
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,965,Exceptions,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Exceptions,,,0.0,pta_72_965
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,966,Final Provisions,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,General Provisions,,,0.0,pta_72_966
xml_files/pta_72.xml,Israel - Mexico,72,2000-04-10,967,Conclusion,Middle East; North America,Bilateral,Yes,Yes,en,ISR,MEX,pta_72,2000,200,Conclusions,,,0.0,pta_72_967
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,929,Preamble,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Preamble,,,0.0,pta_70_929
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,930,Trade In Goods,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Trade in Goods,,,0.0,pta_70_930
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,931,Services And Investment,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Trade In Services,Services,,1.0,pta_70_931
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,932,Competition,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Competition-Related Matters,,,1.0,pta_70_932
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,933,Government Procurement,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Government Procurement,Procurement,Procurement,0.0,pta_70_933
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,934,Intellectual Property,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Intellectual Property,Intellectual property,Intellectual property,1.0,pta_70_934
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,935,Institutional Provisions,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Institutions,,,0.0,pta_70_935
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,936,Dispute Settlement,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Dispute Settlement,Dispute settlement,Dispute settlement,0.0,pta_70_936
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,937,Final Clauses,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,General Provisions,,,0.0,pta_70_937
xml_files/pta_70.xml,EFTA - Mexico,70,2000-11-27,938,Conclusion,Europe; North America,Bilateral; One Party is an RTA,Yes,Yes,en,CHE ISL LIE MEX NOR,,pta_70,2000,200,Conclusions,,,0.0,pta_70_938
xml_files/pta_7.xml,Chile - China,7,2005-11-18,72,Preamble,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Preamble,,,0.0,pta_7_72
xml_files/pta_7.xml,Chile - China,7,2005-11-18,73,Initial Provisions,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,General Provisions,,,0.0,pta_7_73
xml_files/pta_7.xml,Chile - China,7,2005-11-18,74,General Definitions,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,"Objectives, Definitions and Scope",,,0.0,pta_7_74
xml_files/pta_7.xml,Chile - China,7,2005-11-18,75,National Treatment And Market Access For Goods,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Border Measures,,,0.0,pta_7_75
xml_files/pta_7.xml,Chile - China,7,2005-11-18,76,Rules Of Origin,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Rules of origin,,,0.0,pta_7_76
xml_files/pta_7.xml,Chile - China,7,2005-11-18,77,Procedures Related To Rules Of Origin,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Rules of origin,,,0.0,pta_7_77
xml_files/pta_7.xml,Chile - China,7,2005-11-18,78,Trade Remedies,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Trade Remedies,Safeguards,,1.0,pta_7_78
xml_files/pta_7.xml,Chile - China,7,2005-11-18,79,Sanitary And Phytosanitary Measures,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Sanitary and phyto-sanitary,Sanitary and phyto-sanitary,Sanitary and phyto-sanitary,1.0,pta_7_79
xml_files/pta_7.xml,Chile - China,7,2005-11-18,80,Technical Barriers To Trade,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Technical Regulations And Barriers To Trade,Technical barriers,Technical barriers,0.0,pta_7_80
xml_files/pta_7.xml,Chile - China,7,2005-11-18,81,Transparency,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Transparency,,,0.0,pta_7_81
xml_files/pta_7.xml,Chile - China,7,2005-11-18,82,Dispute Settlement,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Dispute Settlement,Dispute settlement,Dispute settlement,0.0,pta_7_82
xml_files/pta_7.xml,Chile - China,7,2005-11-18,83,Administration,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Administration,,,0.0,pta_7_83
xml_files/pta_7.xml,Chile - China,7,2005-11-18,84,Exceptions,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Exceptions,,,0.0,pta_7_84
xml_files/pta_7.xml,Chile - China,7,2005-11-18,85,Cooperation,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,General Provisions,,,0.0,pta_7_85
xml_files/pta_7.xml,Chile - China,7,2005-11-18,86,Final Provisions,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,General Provisions,,,0.0,pta_7_86
xml_files/pta_7.xml,Chile - China,7,2005-11-18,87,Conclusion,South America; East Asia,Bilateral,Yes,Yes,en,CHL,CHN,pta_7,2005,200,Conclusions,,,0.0,pta_7_87
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,916,Preamble,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Preamble,,,0.0,pta_69_916
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,917,Objectives And General Definitions,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,"Objectives, Definitions and Scope",,,0.0,pta_69_917
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,918,Competition,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Competition-Related Matters,,,1.0,pta_69_918
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,919,Trade In Goods,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Trade in Goods,,,0.0,pta_69_919
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,920,Customs Procedures,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Border Measures,,,0.0,pta_69_920
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,921,Services,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Trade In Services,Services,Services,1.0,pta_69_921
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,922,Investment,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Investment,Investment,Investment,1.0,pta_69_922
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,923,"Technical, Sanitary And Phytosanitary Regulations And Standards",Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Technical Regulations And Barriers To Trade,Technical barriers,,0.0,pta_69_923
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,924,Government Procurement,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Government Procurement,Procurement,Procurement,0.0,pta_69_924
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,925,Intellectual Property,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Intellectual Property,Intellectual property,Intellectual property,1.0,pta_69_925
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,926,Dispute Settlement,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Dispute Settlement,Dispute settlement,Dispute settlement,0.0,pta_69_926
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,927,General Provisions,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,General Provisions,,,0.0,pta_69_927
xml_files/pta_69.xml,New Zealand - Singapore,69,2000-11-14,928,Conclusion,Oceania; East Asia,Bilateral,Yes,Yes,en,NZL,SGP,pta_69,2000,200,Conclusions,,,0.0,pta_69_928
