tota_name	tota_number	date_signed	p1	p2	year	decade	region	composition	crossregional	wto
India - Singapore	9	2005-06-29	IND	SGP	2005	200	West Asia; East Asia	Bilateral	Yes	Yes
Trans-Pacific Strategic Economic Partnership	8	2005-07-18	BRN CHL NZL SGP		2005	200	East Asia; South America; Oceania	Plurilateral	Yes	Yes
EFTA - Former Yugoslav Republic of Macedonia	79	2000-06-19	CHE ISL LIE MKD NOR		2000	200	Europe	Bilateral; One Party is an RTA	No	Yes
Israel - Mexico	72	2000-04-10	ISR	MEX	2000	200	Middle East; North America	Bilateral	Yes	Yes
EFTA - Mexico	70	2000-11-27	CHE ISL LIE MEX NOR		2000	200	Europe; North America	Bilateral; One Party is an RTA	Yes	Yes
Chile - China	7	2005-11-18	CHL	CHN	2005	200	South America; East Asia	Bilateral	Yes	Yes
New Zealand - Singapore	69	2000-11-14	NZL	SGP	2000	200	Oceania; East Asia	Bilateral	Yes	Yes
EU - Former Yugoslav Republic of Macedonia	68	2001-04-09	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX MKD NLD PRT SWE		2001	200	Europe	Bilateral; One Party is an RTA	No	Yes
EFTA - Croatia	67	2001-06-21	CHE HRV ISL LIE NOR		2001	200	Europe	Plurilateral	No	Yes
EFTA - Jordan	66	2001-06-21	CHE ISL JOR LIE NOR		2001	200	Europe; Middle East	Bilateral; One Party is an RTA	Yes	Yes
US - Jordan	63	2000-10-24	JOR	USA	2000	200	Middle East; North America	Bilateral	Yes	Yes
Japan - Singapore	62	2002-01-13	JPN	SGP	2002	200	East Asia	Bilateral	No	Yes
EU - Croatia	60	2001-10-29	AUT BEL DEU DNK ESP FIN FRA GBR GRC HRV IRL ITA LUX NLD PRT SWE		2001	200	Europe	Bilateral; One Party is an RTA	No	Yes
Southern African Customs Union (SACU)	6	2002-10-21	BWA LSO NAM SWZ ZAF		2002	200	Africa	Plurilateral	No	Yes
Canada - Costa Rica	59	2001-04-23	CAN	CRI	2001	200	North America; Central America	Bilateral	Yes	Yes
EFTA - Singapore	58	2002-06-26	CHE ISL LIE NOR SGP		2002	200	Europe; East Asia	Bilateral; One Party is an RTA	Yes	Yes
EU - Lebanon	57	2002-06-17	AUT BEL DEU DNK ESP FIN FRA GBR GRC IRL ITA LBN LUX NLD PRT SWE		2002	200	Europe; Middle East	Bilateral; One Party is an RTA	Yes	No
Turkey - Croatia	56	2002-03-13	HRV	TUR	2002	200	Europe	Bilateral	No	Yes
Turkey - Bosnia and Herzegovina	55	2002-07-03	BIH	TUR	2002	200	Europe	Bilateral	No	No
Singapore - Australia	54	2003-02-17	AUS	SGP	2003	200	Oceania; East Asia	Bilateral	Yes	Yes
US - Chile	53	2003-06-06	CHL	USA	2003	200	South America; North America	Bilateral	Yes	Yes
US - Singapore	52	2003-05-06	SGP	USA	2003	200	East Asia; North America	Bilateral	Yes	Yes
China - Hong Kong, China	51	2003-06-29	CHN	HKG	2003	200	East Asia	Bilateral	No	Yes
China - Macao, China	50	2003-10-17	CHN	MAC	2003	200	East Asia	Bilateral	No	Yes
EFTA - Egypt	5	2007-01-27	CHE EGY ISL LIE NOR		2007	200	Africa; Europe	Bilateral; One Party is an RTA	Yes	Yes
Central European Free Trade Agreement (CEFTA) - Accession of Croatia	48	2002-12-05	BGR CZE HRV HUN POL ROU SVK SVN		2002	200	Europe	Plurilateral	No	Yes
Korea, Republic of - Chile	47	2003-02-01	CHL	KOR	2003	200	South America; East Asia	Bilateral	Yes	Yes
Trans-Pacific Partnership	449	2016-02-03	AUS BRN CAN CHL JPN MEX MYS NZL PER SGP USA VNM		2016	201	East Asia; North America; South America	Plurilateral	Yes	Yes
EU - Ghana	448	2016-07-28	AUT BEL BGR CYP CZE DEU DNK ESP EST FIN FRA GBR GHA GRC HRV HUN IRL ITA LTU LUX LVA MLT NLD POL PRT ROU SVK SVN SWE		2016	201	Europe; Africa	Bilateral; One Party is an RTA	Yes	Yes
Eurasian Economic Union (EAEU) - Viet Nam	447	2015-05-29	ARM BLR KAZ KGZ RUS VNM		2015	201	Commonwealth of Independent States (CIS); East Asia	Bilateral; One Party is an RTA	Yes	No
EFTA - Philippines	446	2016-04-28	CHE ISL LIE NOR PHL		2016	201	Europe; East Asia	Bilateral; One Party is an RTA	Yes	Yes
Turkey - Moldova, Republic of	445	2014-09-11	MDA	TUR	2014	201	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	Yes
