pta_9,pta_8,pta_79,pta_72,pta_70,pta_7,pta_69,pta_68,pta_67,pta_66,pta_63,pta_62,pta_60,pta_6,pta_59,pta_58,pta_57,pta_56,pta_55,pta_54,pta_53,pta_52,pta_51,pta_50,pta_5,pta_48,pta_47,pta_449,pta_448,pta_447,pta_446,pta_445,pta_444,pta_443,pta_442,pta_441,pta_440,pta_439,pta_436,pta_435,pta_434,pta_430,pta_428,pta_427,pta_426,pta_425,pta_419,pta_418,pta_416,pta_415,pta_413,pta_412,pta_411,pta_409,pta_408,pta_405,pta_404,pta_403,pta_402,pta_401,pta_400,pta_40,pta_4,pta_399,pta_398,pta_397,pta_396,pta_395,pta_394,pta_393,pta_392,pta_391,pta_390,pta_39,pta_389,pta_388,pta_387,pta_386,pta_385,pta_384,pta_380,pta_38,pta_379,pta_378,pta_377,pta_376,pta_375,pta_374,pta_373,pta_372,pta_371,pta_370,pta_37,pta_369,pta_368,pta_367,pta_366,pta_365,pta_364,pta_363,pta_361,pta_36,pta_358,pta_357,pta_356,pta_352,pta_351,pta_350,pta_349,pta_348,pta_347,pta_346,pta_345,pta_344,pta_343,pta_342,pta_341,pta_340,pta_34,pta_337,pta_336,pta_335,pta_334,pta_333,pta_332,pta_331,pta_330,pta_33,pta_329,pta_328,pta_327,pta_326,pta_325,pta_324,pta_323,pta_31,pta_303,pta_30,pta_3,pta_295,pta_293,pta_292,pta_291,pta_29,pta_286,pta_285,pta_284,pta_283,pta_282,pta_27,pta_265,pta_26,pta_25,pta_24,pta_23,pta_21,pta_20,pta_2,pta_196,pta_194,pta_193,pta_19,pta_182,pta_181,pta_180,pta_179,pta_177,pta_176,pta_171,pta_170,pta_17,pta_169,pta_168,pta_167,pta_166,pta_165,pta_162,pta_161,pta_160,pta_16,pta_159,pta_158,pta_157,pta_156,pta_155,pta_154,pta_153,pta_152,pta_151,pta_150,pta_15,pta_149,pta_148,pta_147,pta_146,pta_145,pta_144,pta_143,pta_142,pta_141,pta_140,pta_139,pta_13,pta_12,pta_117,pta_11,pta_10,pta_1
0.9999999,0.7076074,0.36997318,0.56941926,0.5424566,0.7114823,0.7840294,0.25496802,0.38757205,0.39550546,0.5155073,0.48464802,0.18367258,0.17029105,0.5171268,0.6849961,0.25643608,0.42235684,0.41010743,0.7572684,0.53633606,0.62652224,0.40437606,0.36828732,0.41081685,0.19834,0.60814303,0.4517895,0.3437931,0.7245675,0.6374052,0.5560378,0.23824108,0.6537687,0.44570854,0.28800005,0.20793284,0.8146809,0.7394029,0.49800986,0.6392361,0.2722651,0.43629244,0.468754,0.17457634,0.5662262,0.75322294,0.4911513,0.59381336,0.49752215,0.24191722,0.6377843,0.3483286,0.29301724,0.6771004,0.48229086,0.8151045,0.38513848,0.22331485,0.70330524,0.35430008,0.32718518,0.3147066,0.5580935,0.71242267,0.58955425,0.5343858,0.50364965,0.5841241,0.7210399,0.39566568,0.362934,0.7228997,0.58323586,0.7071875,0.3979181,0.5096312,0.5972568,0.67687625,0.7642583,0.59238815,0.5732436,0.71106464,0.38036832,0.43470234,0.58571905,0.4188415,0.56189024,0.28789797,0.3861984,0.49685505,0.19046889,0.56933916,0.4286415,0.39609998,0.6245558,0.45566306,0.42944655,0.19686797,0.39514554,0.29161003,0.7410638,0.26084954,0.2744604,0.3033953,0.48338646,0.5550803,0.12010172,0.24437708,0.31645852,0.36979806,0.42678827,0.82628894,0.6260308,0.671487,0.43260932,0.4924813,0.34529236,0.36137834,0.44953042,0.79027325,0.55164826,0.8055771,0.7429868,0.3573299,0.586704,0.77828294,0.4106947,0.7108718,0.52545995,0.68264097,0.5255517,0.5005377,0.352065,0.42999557,0.40006885,0.4345376,0.40501863,0.47005644,0.45023808,0.4229746,0.4516822,0.42506105,0.42169195,0.3381082,0.3505932,0.42458302,0.35427895,0.4236302,0.7907689,0.32241368,0.51653177,0.4577706,0.89248353,0.3898262,0.7941292,0.560303,0.41016558,0.19177984,0.33455408,0.45821133,0.608027,0.3661121,0.3697253,0.39212975,0.398061,0.3661005,0.36129373,0.3487825,0.3687331,0.5425815,0.4175725,0.38888884,0.34894717,0.38892445,0.38411275,0.32780746,0.73047584,0.7528303,0.31568843,0.478855,0.5378947,0.46295708,0.41660142,0.68553084,0.60540336,0.61870813,0.43494907,0.682608,0.6608975,0.33100748,0.38328475,0.39632663,0.49877045,0.52420616,0.6007954,0.46661967,0.4325104,0.7423233,0.7571926,0.21786007,0.78528893,0.40020075,0.39077133,0.26633206,0.2136768,0.71767074,0.5904983
0.7076074,1.0,0.39713895,0.6427279,0.5779458,0.8041355,0.7110864,0.3160256,0.41186193,0.41617966,0.5004009,0.17439541,0.1938547,0.24473098,0.70687044,0.6089971,0.31820196,0.40151608,0.43446827,0.77342355,0.7228774,0.6228577,0.28274956,0.30315688,0.3771603,0.25447437,0.74823034,0.74006575,0.43739638,0.74150753,0.685974,0.49238053,0.31367037,0.65032244,0.6537496,0.34733802,0.23916344,0.8221004,0.8931138,0.48087007,0.63147676,0.25580633,0.43301916,0.5009821,0.15103295,0.44210234,0.7488469,0.47613227,0.70193446,0.52409154,0.2542501,0.5649492,0.45086312,0.21542485,0.79484826,0.52285755,0.82927006,0.44653994,0.21694757,0.8342881,0.23032664,0.3056155,0.39563224,0.6741954,0.8349913,0.7708341,0.71482223,0.67277604,0.64868486,0.76887095,0.46929786,0.4316983,0.819871,0.68198884,0.8181453,0.3531824,0.7313092,0.75561047,0.8065856,0.90170074,0.78908634,0.5945437,0.88060844,0.25065833,0.38984716,0.4221474,0.37349245,0.5286615,0.38310778,0.13220002,0.40952808,0.13699488,0.7426183,0.6462166,0.42674008,0.60512143,0.41519228,0.3945359,0.20655395,0.5536181,0.29999933,0.86141646,0.24084046,0.27684817,0.22763659,0.6013188,0.35057586,0.08816557,0.24330108,0.27929187,0.2755983,0.35294563,0.7883169,0.62330544,0.7967916,0.67138326,0.57100993,0.2562374,0.09369568,0.3926342,0.7445271,0.55542445,0.8504709,0.8572549,0.34269878,0.6385344,0.7541287,0.36411875,0.7522133,0.55803907,0.82695806,0.61541504,0.572928,0.23448573,0.33248615,0.3840999,0.42266405,0.35422292,0.33825496,0.41028762,0.41300717,0.40587625,0.40002456,0.4772288,0.23446421,0.24453677,0.38491705,0.26017064,0.3996886,0.8355376,0.22813104,0.6804564,0.41715232,0.80355227,0.62541467,0.69550705,0.33144388,0.39938554,0.27062017,0.23067965,0.43510708,0.6322009,0.26776856,0.30518687,0.31858256,0.38463685,0.29736838,0.27561218,0.28367555,0.28001496,0.730512,0.42134565,0.29088724,0.28134036,0.3056206,0.28107285,0.21530077,0.5480546,0.8532896,0.32217634,0.70737696,0.720408,0.61539716,0.6607161,0.52542394,0.73467195,0.71306485,0.1856733,0.6504584,0.4997723,0.18751076,0.12205685,0.22498095,0.5950099,0.7363062,0.71919966,0.7058759,0.64612323,0.8097062,0.84515667,0.28358307,0.66011655,0.42098007,0.37845793,0.3358083,0.21881527,0.8052872,0.43121147
0.36997318,0.39713895,0.99999976,0.35808074,0.63172954,0.4095101,0.48578036,0.69728893,0.9379748,0.9594839,0.5130345,0.19929756,0.5670501,0.29230756,0.32286477,0.66012716,0.6972512,0.8448454,0.8903163,0.37013492,0.2962568,0.29342467,0.30915144,0.33950022,0.84874403,0.55152714,0.26300716,0.29044932,0.44993055,0.42251793,0.6486058,0.78544843,0.30695766,0.46952596,0.30296654,0.3590482,0.26320812,0.38823757,0.32690698,0.34560975,0.67804116,0.44506907,0.39176556,0.38057995,0.3228645,0.32098413,0.47852588,0.7716989,0.5967199,0.7532989,0.36286888,0.34194288,0.43708682,0.3561737,0.3962288,0.7618998,0.37814614,0.36511764,0.5457271,0.34379998,0.7838998,0.57279897,0.6631021,0.53024536,0.32408643,0.35982648,0.3742882,0.4067841,0.6560713,0.39091402,0.3870483,0.43620342,0.3779537,0.61540437,0.40082034,0.3762896,0.3166588,0.36562583,0.3495583,0.33226243,0.36212006,0.52315146,0.34289643,0.3578674,0.8564423,0.36041197,0.8470361,0.42088202,0.4323331,0.24214803,0.81290203,0.41570938,0.2976299,0.28885528,0.37842265,0.67309827,0.80010194,0.7949404,0.3561527,0.50690275,0.4357122,0.36429647,0.4757631,0.5130427,0.640779,0.32328945,0.33657825,0.37076697,0.54118717,0.2572761,0.38995588,0.8439515,0.36887902,0.57628495,0.28677675,0.34924418,0.32540008,0.3842314,0.20886889,0.7682727,0.34032047,0.23269099,0.3973006,0.37241513,0.40689436,0.6333656,0.51693046,0.90697324,0.4166118,0.49971226,0.38591352,0.3239563,0.32376647,0.36985102,0.38422322,0.7856715,0.85589,0.8025592,0.27665284,0.87078625,0.85288566,0.8665781,0.8624053,0.4525264,0.6860929,0.7471421,0.8520743,0.74093485,0.85927576,0.38178787,0.7397914,0.32901368,0.8350332,0.32005274,0.3604579,0.42867705,0.29754254,0.8519545,0.5526487,0.7678651,0.8749226,0.65107936,0.7686787,0.8005841,0.78722703,0.88130355,0.78719133,0.7781771,0.79205364,0.7981175,0.3625736,0.8682403,0.7679098,0.79440033,0.80999213,0.75977606,0.37347078,0.38954636,0.37074777,0.53368986,0.3055068,0.35739863,0.33935517,0.34488854,0.43199578,0.5862486,0.6109402,0.32772985,0.34535882,0.34782243,0.30204213,0.25010604,0.2693074,0.46098992,0.2904202,0.40715495,0.30567405,0.6453923,0.34735516,0.33102223,0.61703146,0.4273152,0.9250826,0.77366364,0.608409,0.54664564,0.40415815,0.3406161
0.56941926,0.6427279,0.35808074,1.0000002,0.499303,0.6997927,0.45393607,0.37856534,0.37245598,0.3944525,0.5556473,0.27568594,0.30153668,0.28190342,0.8687831,0.49912742,0.37069666,0.386079,0.4001298,0.51419836,0.7311212,0.635938,0.29743853,0.30504054,0.35381773,0.27665326,0.81825036,0.58258843,0.29533988,0.49366066,0.49701917,0.4610293,0.28861088,0.48387927,0.8193427,0.38298312,0.25849408,0.6082504,0.5925246,0.31701076,0.55389047,0.23677829,0.40136915,0.38732675,0.26863313,0.4171538,0.4954042,0.39360735,0.50572634,0.48702237,0.33111405,0.54870164,0.2986943,0.251057,0.5447641,0.48322096,0.72706765,0.53204024,0.3504386,0.67552334,0.26938447,0.3453629,0.36691305,0.4620193,0.6321378,0.723759,0.72325635,0.49191308,0.50262743,0.6370926,0.40340993,0.26072213,0.6597287,0.4909022,0.65301377,0.39318192,0.80509895,0.8361305,0.6627767,0.5649416,0.68747,0.40771484,0.68865436,0.32737634,0.36141747,0.35526425,0.36935627,0.5003123,0.26930246,0.2133307,0.3699447,0.23142685,0.69375277,0.7832723,0.31620428,0.5206447,0.46797425,0.43753916,0.27374548,0.39017385,0.28532788,0.55319697,0.29396167,0.29855448,0.276195,0.8046092,0.38299045,0.099041335,0.35273463,0.33399063,0.3485612,0.355992,0.5956155,0.49245366,0.6632132,0.70343244,0.83380234,0.26022652,0.33944607,0.3824507,0.507641,0.5202546,0.53684354,0.58157474,0.2186848,0.50393736,0.5910326,0.38526815,0.57799566,0.43291757,0.5161723,0.81895065,0.8239339,0.33308512,0.35177374,0.3725753,0.38789716,0.31266,0.42049536,0.4020881,0.42035684,0.3941451,0.38358396,0.38278005,0.32342413,0.30334064,0.39189607,0.31922892,0.38712436,0.55714244,0.29953286,0.6543978,0.3970196,0.61704206,0.6540393,0.6180534,0.3241482,0.3673604,0.33160344,0.28608617,0.4067097,0.53404516,0.3196738,0.2988317,0.32509205,0.40032968,0.30361503,0.29179657,0.35580367,0.35740215,0.5944818,0.40959218,0.33819482,0.34165204,0.35788295,0.32409462,0.1975159,0.4200627,0.54262704,0.32141313,0.6646781,0.62331986,0.6564362,0.6733951,0.38068777,0.5090226,0.540159,0.22995421,0.5243733,0.42145333,0.30748314,0.22456007,0.29722202,0.41397718,0.8024507,0.54607564,0.79928976,0.5344649,0.59980345,0.5817713,0.36811563,0.62619156,0.4089414,0.35565364,0.3019582,0.32203975,0.6532513,0.3690559
0.5424566,0.5779458,0.63172954,0.499303,0.99999994,0.5341335,0.70637417,0.5118809,0.7319222,0.6743566,0.5463341,0.24978217,0.52781,0.23691662,0.45641327,0.8593588,0.5129513,0.53042954,0.58865917,0.638859,0.46213692,0.46535978,0.30114847,0.2983894,0.7192724,0.4111746,0.42139778,0.4952115,0.4745619,0.51445365,0.8239906,0.5458991,0.27705887,0.65433353,0.42805362,0.26672316,0.24495693,0.61098385,0.52202857,0.5007359,0.77937806,0.14900368,0.46643305,0.35614893,0.28472245,0.34821692,0.48468876,0.5616773,0.86201674,0.83518004,0.228658,0.35335037,0.44555265,0.21278104,0.6250995,0.82954156,0.5061548,0.32411224,0.5579464,0.48843902,0.45157626,0.55050015,0.52906215,0.6635333,0.457837,0.4915885,0.4941998,0.52788675,0.84615636,0.52978975,0.35302266,0.5248636,0.55011743,0.88356143,0.52142954,0.49690604,0.46197867,0.48573446,0.45682085,0.51808506,0.47524324,0.5316089,0.51102823,0.16240107,0.55340743,0.3858072,0.55278695,0.33511755,0.45739204,0.19452481,0.6888118,0.1621475,0.46269464,0.42387056,0.4681748,0.86713475,0.7985185,0.7883348,0.20643345,0.51508015,0.2910822,0.55153215,0.26331496,0.2912645,0.27394897,0.4746353,0.3465664,0.17013171,0.5685852,0.034949634,0.15690619,0.5365321,0.46727479,0.6071349,0.49008095,0.49641624,0.38594675,0.26091295,0.14945182,0.54276556,0.5237509,0.251615,0.5281242,0.5290023,0.46674588,0.842496,0.6284319,0.6980146,0.5243867,0.41144168,0.54416245,0.37963954,0.37891796,0.14457437,0.1619279,0.52800864,0.5859796,0.525406,0.299825,0.583493,0.5529343,0.564811,0.5669926,0.5774105,0.2725007,0.34712788,0.5085378,0.34141558,0.50828207,0.53737456,0.34541568,0.48219764,0.6091956,0.54831696,0.5012831,0.614533,0.2660888,0.5794147,0.34825164,0.40361303,0.5532254,0.8916755,0.3934294,0.4165449,0.40474916,0.5819682,0.42384675,0.4038958,0.39820382,0.4364398,0.55237967,0.5793997,0.41797027,0.4008589,0.44701558,0.41213298,0.17659199,0.46638268,0.5614817,0.5622955,0.50566524,0.5335254,0.5105165,0.50196916,0.56225115,0.7870382,0.79120666,0.28093797,0.44187582,0.42350814,0.33589944,0.19568165,0.2588996,0.41521883,0.44918755,0.5862477,0.47043812,0.73687565,0.5777712,0.5006471,0.5105648,0.5313956,0.7088411,0.5420644,0.30060518,0.5812084,0.62819517,0.379005
0.7114823,0.8041355,0.4095101,0.6997927,0.5341335,1.0,0.5847268,0.38299352,0.44665945,0.44312125,0.6323498,0.31575862,0.24796905,0.2968196,0.73143524,0.6404451,0.412706,0.43830085,0.44682223,0.59818584,0.78590024,0.66603315,0.3872904,0.4020386,0.45704514,0.30956867,0.8206528,0.6820089,0.40673742,0.7118346,0.7262314,0.5801058,0.27545863,0.5480044,0.6914325,0.3120381,0.2737914,0.8035468,0.7349979,0.45106244,0.70824325,0.19533518,0.41443053,0.40509608,0.18075149,0.57774055,0.8124198,0.575976,0.62610257,0.6046341,0.23957956,0.72011274,0.45430294,0.34535232,0.7170571,0.60064465,0.86294276,0.45840693,0.26725256,0.8712328,0.3149526,0.4158704,0.3813526,0.727936,0.8895398,0.82351696,0.74497104,0.64556414,0.6841912,0.921225,0.39224628,0.3669508,0.79475576,0.62823874,0.90721244,0.36230895,0.7565126,0.7904746,0.88985556,0.7921926,0.8573366,0.5931421,0.8488137,0.33309177,0.4583103,0.5318782,0.41330513,0.5993388,0.37477037,0.28258616,0.52844375,0.099789135,0.7550083,0.6820032,0.4009592,0.6456796,0.52386993,0.5076052,0.21503662,0.47713742,0.2633565,0.7647711,0.232575,0.2547913,0.20455012,0.6445023,0.5178908,0.09914031,0.2826498,0.25407588,0.27205017,0.39107156,0.78699636,0.78618175,0.80689883,0.70133567,0.7065916,0.32361004,0.28571722,0.46386042,0.75682944,0.66075355,0.7681557,0.7280113,0.32315573,0.6078084,0.8505636,0.44426334,0.89604986,0.5899901,0.76197666,0.73280716,0.7089713,0.22877976,0.3043687,0.44262663,0.43198588,0.43746856,0.51688147,0.45258465,0.44164726,0.42289487,0.4303085,0.5255777,0.2899242,0.26955587,0.4211768,0.27454847,0.41408843,0.7550803,0.2467544,0.68830925,0.48343983,0.77964306,0.660358,0.72840554,0.50197,0.45718753,0.3138179,0.26362407,0.46016192,0.6586907,0.27844873,0.30181938,0.32673353,0.43291357,0.2891143,0.26900303,0.30161503,0.30764514,0.661476,0.42850342,0.3135105,0.2905252,0.3231395,0.30114374,0.28286967,0.6190828,0.77915865,0.3740573,0.71876496,0.6874732,0.6590389,0.683558,0.6025729,0.648904,0.67753476,0.37049153,0.71328163,0.60302687,0.24801773,0.29533088,0.38686082,0.6154134,0.74657136,0.75898385,0.72119266,0.6380458,0.7888107,0.8172891,0.353429,0.85077393,0.50372034,0.44166267,0.3018307,0.26357046,0.7283047,0.50884515
0.7840294,0.7110864,0.48578036,0.45393607,0.70637417,0.5847268,0.9999999,0.32067147,0.51381236,0.5188008,0.4681357,0.28767395,0.26005495,0.27308705,0.46587455,0.74228674,0.33218363,0.47717774,0.45751938,0.8490752,0.50593066,0.566362,0.33423728,0.34138498,0.5424912,0.21727718,0.4740081,0.46857962,0.42581323,0.6300346,0.689698,0.5084466,0.23224968,0.7074225,0.409374,0.23848577,0.20167129,0.75604147,0.7275873,0.5591043,0.6468209,0.24211143,0.35869423,0.36437806,0.20492637,0.42647192,0.65507793,0.47571483,0.7223759,0.5840615,0.24202132,0.45741302,0.4301187,0.18933748,0.71390873,0.57751364,0.6571994,0.3908152,0.26517162,0.5935954,0.33130315,0.38803077,0.35860705,0.55012846,0.588236,0.5315191,0.47846356,0.4457632,0.6440882,0.6016102,0.303931,0.47657183,0.6921688,0.70873606,0.5942672,0.43046626,0.4440915,0.47507563,0.5370443,0.70248556,0.506086,0.5719134,0.6392515,0.2836604,0.5011894,0.3661038,0.4396879,0.46221867,0.39280498,0.21954793,0.566956,0.14469886,0.5392145,0.38581023,0.43779895,0.68922514,0.53459835,0.511541,0.16658187,0.48455864,0.35023558,0.73095363,0.23425816,0.31012136,0.29823193,0.40905827,0.40037876,0.1344223,0.29174238,0.08247387,0.29733604,0.44482383,0.65900874,0.5460703,0.637924,0.41987526,0.30010995,0.23783658,0.17169333,0.51990366,0.6781615,0.3417815,0.7492068,0.74061793,0.39875644,0.702961,0.6677254,0.50710136,0.59178543,0.41864917,0.6387459,0.35927394,0.29905555,0.29275382,0.31665492,0.46468666,0.44306028,0.46599668,0.32530174,0.4573162,0.4708035,0.4622369,0.42757815,0.47577766,0.26913157,0.31103456,0.4141584,0.31359324,0.43152413,0.758131,0.28656194,0.5267952,0.5177142,0.76706046,0.4046067,0.7209251,0.40623105,0.50729156,0.18497728,0.31833524,0.45753354,0.7023311,0.32607087,0.36051685,0.36417922,0.43463412,0.3572497,0.3485119,0.3144103,0.35428926,0.6079363,0.4472967,0.3486607,0.34365025,0.36974669,0.3454376,0.28149936,0.6366993,0.71688485,0.35880402,0.4831881,0.5832721,0.46447313,0.42405435,0.61956275,0.6844732,0.6534431,0.28500545,0.568563,0.5246842,0.3030202,0.21504758,0.23948045,0.4542052,0.46981895,0.5780493,0.42543358,0.56732714,0.70868313,0.6931013,0.28563353,0.65394795,0.5209262,0.48292133,0.27511182,0.26582366,0.76872146,0.44828075
0.25496802,0.3160256,0.69728893,0.37856534,0.5118809,0.38299352,0.32067147,1.0000001,0.6871583,0.6997628,0.3881778,0.13380553,0.8802689,0.2640786,0.3191792,0.43825772,0.91482705,0.7331283,0.74292755,0.21487407,0.29599187,0.20368582,0.2900923,0.29840228,0.70492274,0.47566056,0.32487604,0.2825914,0.6044795,0.33667812,0.43686235,0.7008105,0.24842075,0.16030912,0.32608885,0.32999352,0.25934762,0.26759303,0.21099141,0.35553694,0.52754956,0.3325572,0.5908134,0.5456845,0.4182313,0.2542681,0.44790655,0.7318974,0.3534589,0.5523538,0.30579844,0.31509057,0.517944,0.29600114,0.23657073,0.57900995,0.33236486,0.30032316,0.8531328,0.31926054,0.61917806,0.86033285,0.48024395,0.45291463,0.31452164,0.4347552,0.34546876,0.5254094,0.44176257,0.35933137,0.55544627,0.5485955,0.1973442,0.3793529,0.37903282,0.5373108,0.32896504,0.34720078,0.3361205,0.2604918,0.41376287,0.40787992,0.30654424,0.22962357,0.7476504,0.27637184,0.7201635,0.37119567,0.57435286,0.16509862,0.5244527,0.28419212,0.28679553,0.30590796,0.5419089,0.41799322,0.56862473,0.55188483,0.44780484,0.37862983,0.29655203,0.28702742,0.31591016,0.3421441,0.4636472,0.2410592,0.26034763,0.43153152,0.86689484,0.20825815,0.2464928,0.7362747,0.32789075,0.51326126,0.2567156,0.2881779,0.31781948,0.2973002,0.13909365,0.748032,0.29409823,0.1514352,0.30961564,0.22605467,0.51213545,0.31919485,0.4146851,0.6945313,0.35033908,0.32576793,0.24309306,0.295418,0.2994931,0.34057024,0.2718781,0.7629138,0.71594757,0.7685995,0.21860544,0.72327113,0.7231981,0.72152257,0.7263529,0.71455574,0.5316641,0.59159625,0.7051477,0.5642143,0.6836553,0.28055128,0.58145314,0.24765208,0.7340601,0.23909277,0.26900014,0.2967155,0.20737751,0.7458344,0.46960852,0.5752816,0.7436654,0.44814715,0.5768356,0.62204444,0.62345636,0.77005374,0.5657212,0.5944356,0.6326224,0.6170872,0.19886519,0.72492653,0.62640655,0.615838,0.6448039,0.6170526,0.21603063,0.27409056,0.26967654,0.83539,0.25854287,0.21902673,0.26530838,0.2750905,0.3474161,0.3754861,0.46719486,0.15094492,0.27701786,0.258002,0.25053486,0.14477448,0.204003,0.329232,0.31910276,0.5486674,0.32637206,0.44218895,0.26467714,0.29799655,0.89997107,0.36105353,0.7284924,0.79634464,0.5036231,0.86235714,0.1722807,0.26475057
0.38757205,0.41186193,0.9379748,0.37245598,0.7319222,0.44665945,0.51381236,0.6871583,1.0,0.9342442,0.5368016,0.23867665,0.63615876,0.21468349,0.35268822,0.7507439,0.68158793,0.7888151,0.844781,0.39106876,0.31872448,0.3283695,0.31041005,0.33639762,0.8969639,0.558026,0.28540668,0.32467562,0.43772992,0.46000716,0.72258043,0.7611612,0.2710238,0.5293403,0.3159769,0.33190748,0.21744359,0.4140563,0.32336658,0.3822051,0.74114674,0.31862193,0.427177,0.37440413,0.34519827,0.3532018,0.50359964,0.7406224,0.68234396,0.8502287,0.30775362,0.35606572,0.41159227,0.35332197,0.42714345,0.86114633,0.3986865,0.34728965,0.61268896,0.3623398,0.75953805,0.5952737,0.6890456,0.59867847,0.34282276,0.38605094,0.4147685,0.46010482,0.7526886,0.4383044,0.39253482,0.42819726,0.38990647,0.70240754,0.41814,0.41916868,0.34122503,0.38391322,0.35312966,0.35512057,0.38157728,0.5276069,0.35819578,0.28872374,0.803556,0.4437658,0.807406,0.40805918,0.4158934,0.28410587,0.8567465,0.31021544,0.32478395,0.30294332,0.4010247,0.77894473,0.8857391,0.87913865,0.3069501,0.4868777,0.37260807,0.39734948,0.41142523,0.4482692,0.53233725,0.37547,0.36604697,0.35555363,0.61013675,0.16646491,0.30304915,0.7906078,0.3949539,0.638542,0.31584355,0.3939255,0.3084931,0.36941525,0.2363482,0.72755146,0.39476976,0.24589856,0.4291808,0.3765567,0.3961676,0.70883816,0.5652434,0.9335945,0.46937805,0.48939386,0.43365377,0.31132132,0.3064575,0.2670773,0.29022145,0.74388796,0.8052394,0.7662887,0.29621032,0.8276004,0.7845346,0.809614,0.8180699,0.49249467,0.5805406,0.65101784,0.78996617,0.6469234,0.78849155,0.39198163,0.65253747,0.3631037,0.8170511,0.34773928,0.4054131,0.46075657,0.30638915,0.81243277,0.5067403,0.69874674,0.8175712,0.74160457,0.6779164,0.70695454,0.6992268,0.8326245,0.69796294,0.69410515,0.69001573,0.7129272,0.39032125,0.81563926,0.6830706,0.69274527,0.71906656,0.6748134,0.27495322,0.43408367,0.4139782,0.5555521,0.33684388,0.3799411,0.3729528,0.38831246,0.5123921,0.6614721,0.7027256,0.38681147,0.37753874,0.37998703,0.29804295,0.28569624,0.33379436,0.45799923,0.32571432,0.47180352,0.34031308,0.7322885,0.39684868,0.3530974,0.59821135,0.45932972,0.9307686,0.7344804,0.4841065,0.61631054,0.41039383,0.37593833
0.39550546,0.41617966,0.9594839,0.3944525,0.6743566,0.44312125,0.5188008,0.6997628,0.9342442,0.9999998,0.5819106,0.24972029,0.5897305,0.31004995,0.36548254,0.7001691,0.69516706,0.8207903,0.85598165,0.38773015,0.34237576,0.35456762,0.33018914,0.36159474,0.88572985,0.5373223,0.2909907,0.34642604,0.44241005,0.41800612,0.69524467,0.7870749,0.2749342,0.5212566,0.33122444,0.3246628,0.21472903,0.40116358,0.3475646,0.3760732,0.7103253,0.36271784,0.40090144,0.37053573,0.3834693,0.37282443,0.48494795,0.770926,0.6439549,0.7937854,0.3205817,0.3771282,0.4255436,0.3580318,0.42975783,0.797196,0.41809064,0.3689999,0.5524918,0.37243712,0.7738832,0.5831722,0.65313417,0.56261945,0.34942913,0.39797378,0.41733247,0.4053008,0.70216036,0.43324703,0.38386384,0.42277145,0.40665597,0.644837,0.42054957,0.39847022,0.3532106,0.39265978,0.3518446,0.33604455,0.38717115,0.531981,0.36766654,0.35436168,0.8275989,0.41437963,0.80554616,0.41224298,0.42705882,0.2951424,0.85080534,0.3427653,0.35416555,0.3238794,0.376516,0.713741,0.82683337,0.8139058,0.34356055,0.51986283,0.3784872,0.39429843,0.40524548,0.46183944,0.58025694,0.39689252,0.37703007,0.3913723,0.54731894,0.25937986,0.36576363,0.81318,0.40924188,0.5996862,0.32112953,0.40015543,0.328113,0.38679424,0.2631747,0.7623006,0.38927704,0.27809432,0.4275727,0.40884885,0.42520827,0.6798181,0.54958516,0.91719896,0.46501443,0.52050537,0.42105976,0.3214595,0.3221061,0.39711708,0.35716876,0.7610738,0.82617176,0.7809451,0.31680992,0.8436971,0.8135047,0.8214374,0.82288045,0.45617938,0.66113025,0.7139921,0.8238612,0.70902234,0.823742,0.39092863,0.70530856,0.38438016,0.8260315,0.34799427,0.4114614,0.48193267,0.32969618,0.82659036,0.5449753,0.72440255,0.83100253,0.69374347,0.7321131,0.74665457,0.7397924,0.8411147,0.74622196,0.72360504,0.7369583,0.7645454,0.4106188,0.8234283,0.7341756,0.7440013,0.7630965,0.7245815,0.3336774,0.4287399,0.41517606,0.5275394,0.3551144,0.40459645,0.39368042,0.39421093,0.45785564,0.6234955,0.650088,0.38783666,0.3813756,0.3915255,0.32814497,0.29739645,0.3337433,0.49597266,0.3290254,0.4102657,0.34854162,0.686996,0.37792918,0.35593644,0.6073752,0.46250615,0.92762196,0.76621157,0.5832172,0.55716985,0.4392378,0.38377595
